,Unnamed: 0,Player,Season,Assists_STD_Playoffs,Assists_STD_Regular,Goals_STD_Playoffs,Goals_STD_Regular,Takeaways_STD_Playoffs,Takeaways_STD_Regular
8,8,Adam Henrique,2023-24,0.39,0.57,0.44,0.56,0.62,0.56
16,16,Adrian Kempe,2023-24,0.42,0.71,0.79,0.58,0.42,0.75
25,25,Aleksander Barkov,2023-24,0.83,0.92,0.64,0.52,0.97,0.85
58,58,Anze Kopitar,2023-24,0.89,0.69,0.45,0.54,0.89,0.8
67,67,Artemi Panarin,2023-24,0.96,0.89,0.48,0.77,0.34,0.77
75,75,Auston Matthews,2023-24,0.84,0.65,0.42,0.93,0.84,0.89
92,92,Brad Marchand,2023-24,0.67,0.67,0.65,0.65,0.75,0.82
106,106,Brayden Point,2023-24,0.84,0.74,0.52,0.77,0.94,0.67
115,115,Brock Nelson,2023-24,0.55,0.65,0.55,0.63,0.45,0.65
121,121,Cale Makar,2023-24,0.8,0.88,0.66,0.53,1.14,1.0
130,130,Charlie Coyle,2023-24,0.48,0.63,0.28,0.62,0.66,0.84
139,139,Chris Kreider,2023-24,0.58,0.61,0.82,0.63,0.6,0.57
161,161,Connor Mcdavid,2023-24,1.29,1.2,0.56,0.59,0.96,0.97
170,170,David Pastrnak,2023-24,0.48,0.79,0.48,0.75,0.63,0.86
193,193,Dylan Strome,2023-24,0.46,0.72,0.46,0.59,0.53,0.86
199,199,Elias Pettersson,2023-24,0.49,0.84,0.27,0.68,0.63,0.75
213,213,Evan Bouchard,2023-24,1.12,0.87,0.43,0.47,0.73,0.97
234,234,Filip Forsberg,2023-24,0.82,0.65,0.52,0.77,0.82,1.05
251,251,Gustav Nyquist,2023-24,0.52,0.74,0.39,0.48,1.04,0.76
260,260,J.T. Miller,2023-24,1.03,0.95,0.44,0.59,0.77,0.63
269,269,Jack Eichel,2023-24,0.79,0.73,0.53,0.62,0.49,0.97
288,288,Jason Robertson,2023-24,0.76,0.68,0.73,0.55,1.13,0.91
304,304,Joe Pavelski,2023-24,0.37,0.63,0.23,0.47,0.61,0.54
326,326,John Carlson,2023-24,0.5,0.72,0.5,0.33,0.0,0.79
344,344,Jonathan Marchessault,2023-24,0.49,0.57,0.49,0.8,0.49,0.72
358,358,Josh Morrissey,2023-24,0.45,0.94,0.55,0.33,0.55,0.74
367,367,Kevin Fiala,2023-24,0.45,0.76,0.45,0.53,0.55,0.77
381,381,Kyle Connor,2023-24,0.52,0.68,0.84,0.73,0.84,0.68
390,390,Leon Draisaitl,2023-24,0.85,0.97,0.65,0.57,1.0,1.1
402,402,Mark Scheifele,2023-24,0.84,0.87,0.55,0.6,0.55,0.93
408,408,Martin Necas,2023-24,0.51,0.58,0.49,0.57,0.51,0.58
416,416,Mathew Barzal,2023-24,0.84,0.8,0.84,0.48,0.52,1.22
431,431,Matt Duchene,2023-24,0.42,0.66,0.32,0.52,0.9,0.81
439,439,Matthew Tkachuk,2023-24,0.86,0.84,0.53,0.59,0.7,0.81
466,466,Mikko Rantanen,2023-24,0.83,0.93,0.67,0.71,0.65,0.65
474,474,Mitchell Marner,2023-24,0.47,0.94,0.36,0.62,0.73,1.0
483,483,Nathan Mackinnon,2023-24,0.7,0.83,0.5,0.86,0.87,0.69
588,588,Roman Josi,2023-24,0.52,0.79,0.41,0.53,0.41,0.7
597,597,Sam Reinhart,2023-24,0.85,0.71,0.58,0.75,0.83,0.79
605,605,Sebastian Aho,2023-24,0.98,0.93,0.49,0.64,0.67,0.74
608,608,Seth Jarvis,2023-24,0.78,0.63,0.5,0.6,0.66,0.69
626,626,Steven Stamkos,2023-24,0.45,0.68,0.71,0.8,0.45,0.53
667,667,Vincent Trocheck,2023-24,0.68,0.87,0.52,0.58,0.91,0.72
688,688,William Nylander,2023-24,0.0,0.76,0.96,0.65,0.5,1.06
